,p,q,length,size
846,0.0,0.0,1.0,0.0004000000000000001
845,0.0,0.1,1.0,0.0004000000000000001
844,0.0,0.2,1.0,0.0004000000000000001
843,0.0,0.3,1.0,0.0004000000000000001
842,0.0,0.4,1.0,0.0004000000000000001
841,0.0,0.5,1.0,0.0004000000000000001
840,0.0,0.6,1.0,0.0004000000000000001
839,0.0,0.7,1.0,0.0004000000000000001
838,0.0,0.8,1.0,0.0004000000000000001
837,0.0,0.9,1.0,0.0004000000000000001
836,0.0,1.0,1.0,0.0004000000000000001
835,0.0025,0.0,1.0,0.0004000000000000001
834,0.0025,0.1,1.0,0.0004000000000000001
833,0.0025,0.2,1.02,0.0004080000000000001
832,0.0025,0.3,1.0,0.0004000000000000001
831,0.0025,0.4,1.02,0.0004080000000000001
830,0.0025,0.5,1.02,0.0004080000000000001
829,0.0025,0.6,1.02,0.0004080000000000001
828,0.0025,0.7,1.02,0.00041600000000000014
827,0.0025,0.8,1.0,0.0004000000000000001
826,0.0025,0.9,1.0,0.0004000000000000001
825,0.0025,1.0,1.0,0.0004000000000000001
824,0.005,0.0,1.0,0.0004000000000000001
823,0.005,0.1,1.0,0.0004000000000000001
822,0.005,0.2,1.0,0.0004000000000000001
821,0.005,0.3,1.02,0.0004080000000000001
820,0.005,0.4,1.0,0.0004000000000000001
819,0.005,0.5,1.04,0.00041600000000000014
818,0.005,0.6,1.04,0.00041600000000000003
817,0.005,0.7,1.02,0.0004080000000000001
816,0.005,0.8,1.04,0.00041600000000000014
815,0.005,0.9,1.0,0.0004000000000000001
814,0.005,1.0,1.0,0.0004000000000000001
813,0.0075,0.0,1.06,0.00042400000000000006
812,0.0075,0.1,1.08,0.0004320000000000001
811,0.0075,0.2,1.02,0.0004080000000000001
810,0.0075,0.3,1.0,0.0004000000000000001
809,0.0075,0.4,1.06,0.00042400000000000006
808,0.0075,0.5,1.02,0.0004080000000000001
807,0.0075,0.6,1.0,0.0004000000000000001
806,0.0075,0.7,1.08,0.00043200000000000004
805,0.0075,0.8,1.0,0.0004000000000000001
804,0.0075,0.9,1.04,0.00041600000000000003
803,0.0075,1.0,1.06,0.00042400000000000006
802,0.01,0.0,1.06,0.00042400000000000006
801,0.01,0.1,1.06,0.00042400000000000006
800,0.01,0.2,1.04,0.00041600000000000014
799,0.01,0.3,1.04,0.00041600000000000014
798,0.01,0.4,1.02,0.0004080000000000001
797,0.01,0.5,1.06,0.00042400000000000006
796,0.01,0.6,1.0,0.0004000000000000001
795,0.01,0.7,1.06,0.00042400000000000006
794,0.01,0.8,1.08,0.0004400000000000001
793,0.01,0.9,1.0,0.0004000000000000001
792,0.01,1.0,1.06,0.0004320000000000001
791,0.0125,0.0,1.06,0.0004320000000000001
790,0.0125,0.1,1.04,0.00042400000000000006
