,0,1
0,1,0.001
0.0025,1.015,0.001015
0.005,1.025,0.001025
0.0075,1.05,0.001055
0.01,1.08,0.001095
0.0125,1.075,0.001075
0.015,1.56,0.006045
0.0175,1.12,0.00114
0.02,1.28,0.00137
0.0225,1.825,0.01095
0.025,1.62,0.006325
0.0275,2.145,0.01618
0.03,2.09,0.0161
0.0325,2.42,0.0259
0.035,3.7,0.055485
0.0375,4.04,0.065525
0.04,3.87,0.060985
0.0425,4.64,0.085515
0.045,5.575,0.11043
0.0475,4.525,0.0858
0.05,5.49,0.12016
0.0525,7.05,0.16539
0.055,7.74,0.19499
0.0575,6.91,0.175225
0.06,7.735,0.21467
0.0625,6.46,0.17514
0.065,7.08,0.204835
0.0675,7.975,0.234835
0.07,9.645,0.309345
0.0725,9.015,0.29443
0.075,9.125,0.309375
0.0775,9.255,0.319295
0.08,9.15,0.329185
0.0825,10.555,0.39382
0.085,10.335,0.39389
0.0875,9.185,0.354355
0.09,9.615,0.379185
0.0925,10.39,0.423795
0.095,9.975,0.41429
0.0975,11.04,0.478775
0.1,8.875,0.384425
0.125,11.51,0.60403
0.15,10.86,0.66893
0.175,10.555,0.738935
0.2,10.08,0.78405
0.225,9.365,0.799065
0.25,9.265,0.864145
0.275,8.6,0.84426
0.3,8.325,0.904375
0.325,7.92,0.934155
0.35,7.735,0.94431
0.375,7.465,0.969245
0.4,7.03,0.954345
0.425,6.785,0.949395
0.45,6.455,0.96937
0.475,6.27,0.974425
0.5,5.975,0.984405
0.525,5.755,0.954525
0.575,5.54,0.99452
0.6,5.315,0.99441
0.625,5.175,0.99958
0.65,4.99,0.98463
0.675,4.92,0.98958
0.7,4.8,0.9946
0.725,4.65,0.999605
0.75,4.43,0.98955
0.775,4.295,0.999605
0.8,4.25,0.99455
0.825,4.18,0.999585
0.85,4.095,0.999655
0.875,3.99,0.999615
0.9,3.77,0.999635
0.925,3.81,0.99956
0.95,3.675,0.99966
0.975,3.635,0.999655
1,3.49,0.99972
