,epsilon,p,length,size
4616,0.0,0.0,1.0,0.004999999999999999
4615,0.0,0.005,1.05,0.00525
4614,0.0,0.01,1.12,0.0056500000000000005
4613,0.0,0.015,1.14,0.0058
4612,0.0,0.02,1.29,0.007050000000000002
4611,0.0,0.025,1.75,0.016499999999999994
4610,0.0,0.03,1.94,0.025549999999999993
4609,0.0,0.035,2.43,0.03744999999999999
4608,0.0,0.04,2.25,0.04464999999999998
4607,0.0,0.045,4.76,0.13965
4606,0.0,0.05,5.38,0.17069999999999994
4605,0.0,0.055,4.58,0.15279999999999996
4604,0.0,0.06,4.36,0.15264999999999995
4603,0.0,0.065,5.94,0.22344999999999995
4602,0.0,0.07,8.0,0.35800000000000004
4601,0.0,0.075,7.17,0.33814999999999995
4600,0.0,0.08,6.8,0.32994999999999997
4599,0.0,0.085,6.67,0.33929999999999993
4598,0.0,0.09,6.86,0.3604500000000001
4597,0.0,0.095,8.81,0.5065500000000001
4596,0.0,0.1,8.31,0.4973
4595,0.0,0.125,7.67,0.54765
4594,0.0,0.15,8.81,0.7271499999999999
4593,0.0,0.175,8.24,0.7774
4592,0.0,0.2,7.9,0.81745
4591,0.0,0.225,6.88,0.7493500000000001
4590,0.0,0.25,7.36,0.9082000000000001
4589,0.0,0.275,7.28,0.958
4588,0.0,0.3,6.28,0.88875
4587,0.0,0.325,6.5,0.9683499999999999
4586,0.0,0.35,5.79,0.9286999999999999
4585,0.0,0.375,5.73,0.9586500000000001
4584,0.0,0.4,5.43,0.9388500000000001
4583,0.0,0.425,5.13,0.93935
4582,0.0,0.45,5.31,0.9891
4581,0.0,0.475,4.94,0.9892500000000001
4580,0.0,0.5,4.8,0.9891500000000001
4579,0.0,0.525,4.68,0.9988499999999999
4578,0.0,0.55,4.48,0.9894000000000002
4577,0.0,0.575,4.42,0.9894
4576,0.0,0.6,4.27,0.9893000000000001
4575,0.0,0.625,4.14,0.9894999999999999
4574,0.0,0.65,3.96,0.9995000000000002
4573,0.0,0.675,3.89,0.99945
4572,0.0,0.7,3.94,0.9992
4571,0.0,0.725,3.74,0.99965
4570,0.0,0.75,3.67,0.9995999999999999
4569,0.0,0.775,3.59,0.9997
4568,0.0,0.8,3.6,0.99985
4567,0.0,0.825,3.46,0.9998
4566,0.0,0.85,3.47,0.99965
4565,0.0,0.875,3.38,0.9993500000000001
4564,0.0,0.9,3.29,0.9995500000000002
4563,0.0,0.925,3.3,0.9997499999999999
4562,0.0,0.95,3.14,0.9997499999999999
4561,0.0,0.975,3.2,0.99985
4560,0.0,1.0,3.14,0.9997999999999999
4559,0.2,0.0,1.0,0.004999999999999999
4558,0.2,0.005,1.05,0.0052499999999999995
4557,0.2,0.01,1.1,0.0055000000000000005
4556,0.2,0.015,1.15,0.0059
4555,0.2,0.02,1.27,0.006500000000000001
4554,0.2,0.025,1.47,0.0091
4553,0.2,0.03,2.33,0.03535
4552,0.2,0.035,2.03,0.026999999999999982
4551,0.2,0.04,2.53,0.04604999999999998
4550,0.2,0.045,4.01,0.10450000000000001
4549,0.2,0.05,5.71,0.18159999999999993
4548,0.2,0.055,4.07,0.12315
4547,0.2,0.06,5.48,0.20044999999999993
4546,0.2,0.065,5.11,0.1931499999999999
4545,0.2,0.07,5.82,0.2507
4544,0.2,0.075,7.86,0.36064999999999997
4543,0.2,0.08,7.26,0.35005000000000003
4542,0.2,0.085,6.8,0.34954999999999997
4541,0.2,0.09,6.78,0.37860000000000005
4540,0.2,0.095,6.79,0.37955000000000005
4539,0.2,0.1,7.72,0.4578000000000001
4538,0.2,0.125,7.13,0.4885999999999999
4537,0.2,0.15,7.59,0.61925
4536,0.2,0.175,7.57,0.6975500000000001
4535,0.2,0.2,7.07,0.7192000000000001
4534,0.2,0.225,7.16,0.8083499999999998
4533,0.2,0.25,7.19,0.8879499999999999
4532,0.2,0.275,6.88,0.8982500000000002
4531,0.2,0.3,6.77,0.95855
4530,0.2,0.325,6.15,0.9185000000000001
4529,0.2,0.35,5.89,0.9189500000000002
4528,0.2,0.375,5.55,0.9188
4527,0.2,0.4,5.47,0.9489499999999998
4526,0.2,0.425,5.41,0.9492499999999999
4525,0.2,0.45,5.3,0.9691500000000001
4524,0.2,0.475,4.97,0.9992499999999999
4523,0.2,0.5,4.76,0.9793999999999999
4522,0.2,0.525,4.68,0.9991
4521,0.2,0.55,4.51,0.99905
4520,0.2,0.575,4.39,0.9796
4519,0.2,0.6,4.19,0.98965
4518,0.2,0.625,4.15,0.9992500000000001
4517,0.2,0.65,3.95,0.9994
4516,0.2,0.675,3.92,0.9995500000000002
4515,0.2,0.7,3.83,0.99945
4514,0.2,0.725,3.74,0.9993500000000001
4513,0.2,0.75,3.7,0.9996
4512,0.2,0.775,3.69,0.99985
4511,0.2,0.8,3.51,0.9994999999999998
4510,0.2,0.825,3.4,0.9996
4509,0.2,0.85,3.46,0.9894999999999999
4508,0.2,0.875,3.37,0.9997000000000001
4507,0.2,0.9,3.25,0.9996
4506,0.2,0.925,3.23,0.9995
4505,0.2,0.95,3.12,0.9994500000000001
4504,0.2,0.975,3.17,0.9996
4503,0.2,1.0,3.08,0.9996
4502,0.4,0.0,1.0,0.004999999999999999
4501,0.4,0.005,1.01,0.00505
4500,0.4,0.01,1.13,0.00575
4499,0.4,0.015,1.22,0.00635
4498,0.4,0.02,1.13,0.005750000000000001
4497,0.4,0.025,1.19,0.00615
4496,0.4,0.03,2.05,0.025949999999999987
4495,0.4,0.035,2.76,0.05474999999999999
4494,0.4,0.04,3.79,0.08525000000000002
4493,0.4,0.045,3.76,0.09419999999999996
4492,0.4,0.05,3.34,0.08485000000000001
4491,0.4,0.055,5.06,0.18004999999999993
4490,0.4,0.06,6.24,0.23144999999999993
4489,0.4,0.065,6.51,0.2606499999999999
4488,0.4,0.07,6.12,0.2701499999999999
4487,0.4,0.075,6.06,0.28034999999999993
4486,0.4,0.08,6.44,0.3011
4485,0.4,0.085,7.31,0.36975
4484,0.4,0.09,7.4,0.39039999999999997
4483,0.4,0.095,5.3,0.27174999999999994
4482,0.4,0.1,6.97,0.39975
4481,0.4,0.125,8.42,0.59835
4480,0.4,0.15,8.23,0.6680499999999999
4479,0.4,0.175,8.68,0.8172
4478,0.4,0.2,7.58,0.77805
4477,0.4,0.225,7.47,0.8483000000000002
4476,0.4,0.25,7.17,0.84875
4475,0.4,0.275,6.9,0.9085500000000001
4474,0.4,0.3,6.26,0.9089999999999999
4473,0.4,0.325,5.93,0.88905
4472,0.4,0.35,5.84,0.91905
4471,0.4,0.375,5.77,0.9588
4470,0.4,0.4,5.38,0.9493
4469,0.4,0.425,5.19,0.9389500000000001
4468,0.4,0.45,5.07,0.9691999999999998
4467,0.4,0.475,4.98,0.9794999999999999
4466,0.4,0.5,4.73,0.9791
4465,0.4,0.525,4.73,0.97915
4464,0.4,0.55,4.66,0.9893500000000001
4463,0.4,0.575,4.3,0.9595999999999999
4462,0.4,0.6,4.29,0.98965
4461,0.4,0.625,4.08,0.9995000000000002
4460,0.4,0.65,4.12,0.9897500000000001
4459,0.4,0.675,3.98,0.9997499999999999
4458,0.4,0.7,3.94,0.9997
4457,0.4,0.725,3.71,0.9997999999999999
4456,0.4,0.75,3.82,0.9997
4455,0.4,0.775,3.7,0.99965
4454,0.4,0.8,3.63,0.9995500000000002
4453,0.4,0.825,3.48,0.9995
4452,0.4,0.85,3.56,0.9997499999999999
4451,0.4,0.875,3.4,0.9996
4450,0.4,0.9,3.27,0.9995
4449,0.4,0.925,3.21,0.9997499999999999
4448,0.4,0.95,3.29,0.9998
4447,0.4,0.975,3.17,0.9997499999999999
4446,0.4,1.0,3.18,0.9997
4445,0.6,0.0,1.0,0.004999999999999999
4444,0.6,0.005,1.09,0.00545
4443,0.6,0.01,1.15,0.00575
4442,0.6,0.015,1.12,0.005600000000000001
4441,0.6,0.02,1.24,0.00645
4440,0.6,0.025,1.31,0.006900000000000002
4439,0.6,0.03,1.68,0.016699999999999996
4438,0.6,0.035,2.67,0.04539999999999998
4437,0.6,0.04,3.42,0.08305000000000001
4436,0.6,0.045,4.02,0.10455
4435,0.6,0.05,4.93,0.1522
4434,0.6,0.055,4.52,0.14309999999999998
4433,0.6,0.06,4.86,0.18114999999999995
4432,0.6,0.065,6.06,0.24014999999999995
4431,0.6,0.07,4.86,0.20164999999999997
4430,0.6,0.075,5.76,0.25134999999999996
4429,0.6,0.08,5.69,0.27059999999999995
4428,0.6,0.085,6.95,0.3593
4427,0.6,0.09,7.76,0.4271499999999999
4426,0.6,0.095,7.01,0.3990000000000001
4425,0.6,0.1,7.78,0.4588999999999999
4424,0.6,0.125,7.89,0.5389999999999999
4423,0.6,0.15,6.65,0.5297000000000001
4422,0.6,0.175,7.79,0.70895
4421,0.6,0.2,7.2,0.7578500000000001
4420,0.6,0.225,7.24,0.8377
4419,0.6,0.25,6.98,0.8580500000000001
4418,0.6,0.275,6.45,0.8488999999999999
4417,0.6,0.3,6.49,0.9079
4416,0.6,0.325,6.26,0.9191499999999999
4415,0.6,0.35,5.8,0.9284
4414,0.6,0.375,5.84,0.9588500000000001
4413,0.6,0.4,5.29,0.9190999999999999
4412,0.6,0.425,5.39,0.9791499999999997
4411,0.6,0.45,5.13,0.9790000000000001
4410,0.6,0.475,4.96,0.9894
4409,0.6,0.5,4.84,0.9893
4408,0.6,0.525,4.69,0.9892500000000001
4407,0.6,0.55,4.5,0.9892500000000001
4406,0.6,0.575,4.32,0.9895499999999999
4405,0.6,0.6,4.25,0.9795
4404,0.6,0.625,4.18,0.9895
4403,0.6,0.65,4.04,0.99945
4402,0.6,0.675,3.92,0.9997499999999999
4401,0.6,0.7,3.84,0.9897
