,0,1
0.01,1.2,0.0012400000000000002
0.02,1.15,0.0011600000000000004
0.03,2.51,0.021339999999999994
0.04,4.24,0.07071000000000001
0.05,8.59,0.20962999999999993
0.06,7.25,0.19978
0.07,7.86,0.24965999999999997
0.08,7.63,0.2601
0.09,9.98,0.38956
0.1,8.91,0.37953999999999993
0.11,9.7,0.4491099999999999
0.12,9.35,0.46916999999999986
0.13,10.85,0.5887299999999999
0.14,11.31,0.66903
0.15,10.12,0.63882
0.16,10.39,0.67876
0.17,10.32,0.6990100000000002
0.18,10.32,0.7488900000000001
0.19,10.4,0.7790699999999999
0.2,9.78,0.7490600000000002
0.21,10.54,0.86855
0.22,9.63,0.8189799999999999
0.23,9.83,0.8589699999999999
0.24,9.5,0.8592399999999999
0.25,9.29,0.8788800000000001
0.26,8.78,0.84915
0.27,8.27,0.8488899999999999
0.28,8.62,0.8791100000000001
0.29,8.53,0.8991699999999999
0.3,8.15,0.89899
0.4,7.26,0.9693999999999999
0.5,6.02,0.9793999999999999
0.6,5.27,0.98958
0.7,4.86,0.9895999999999999
0.8,4.38,0.9995799999999998
0.9,3.87,0.9997400000000001
