,n,p,violations after algorithm run
49,10.0,0.1,1.2
48,10.0,0.2,4.0
47,10.0,0.3,7.9
46,10.0,0.4,11.8
45,10.0,0.5,14.8
44,10.0,0.6,19.3
43,10.0,0.7,24.5
42,10.0,0.8,30.3
41,10.0,0.9,36.1
40,10.0,1.0,45.0
39,20.0,0.1,6.5
38,20.0,0.2,16.9
37,20.0,0.3,36.4
36,20.0,0.4,51.8
35,20.0,0.5,68.5
34,20.0,0.6,90.2
33,20.0,0.7,109.6
32,20.0,0.8,131.8
31,20.0,0.9,155.7
30,20.0,1.0,190.0
29,30.0,0.1,16.5
28,30.0,0.2,51.6
27,30.0,0.3,86.0
26,30.0,0.4,122.2
25,30.0,0.5,169.3
24,30.0,0.6,215.5
23,30.0,0.7,255.8
22,30.0,0.8,304.2
21,30.0,0.9,363.5
20,30.0,1.0,435.0
19,40.0,0.1,31.6
18,40.0,0.2,92.5
17,40.0,0.3,160.0
16,40.0,0.4,236.0
15,40.0,0.5,306.6
14,40.0,0.6,385.7
13,40.0,0.7,472.7
12,40.0,0.8,562.5
11,40.0,0.9,659.6
10,40.0,1.0,780.0
9,50.0,0.1,54.6
8,50.0,0.2,150.2
7,50.0,0.3,244.7
6,50.0,0.4,380.3
5,50.0,0.5,489.9
4,50.0,0.6,615.2
3,50.0,0.7,741.8
2,50.0,0.8,887.4
1,50.0,0.9,1036.0
0,50.0,1.0,1225.0
